hourPV,DatePV,EnergyPV,EnergyREG,SOLAR RADIATION
17:00:00,28/9/2021:,0.47,0.00,564.3
18:00:00,28/9/2021:,0.49,0.00,299.7
19:00:00,28/9/2021:,0.48,0.00,328.5
20:00:00,28/9/2021:,0.49,0.00,450.5
21:00:00,28/9/2021:,0.49,0.00,435.7
22:00:00,28/9/2021:,,,347.5
8:00:00,29/9/2021:,0.47,0.00,289.7
9:00:00,29/9/2021:,0.45,0.00,267
10:00:00,29/9/2021:,0.47,0.00,266.3
11:00:00,29/9/2021:,0.48,0.00,370
12:00:00,29/9/2021:,0.47,0.00,491.8
13:00:00,29/9/2021:,0.48,0.00,525.6
14:00:00,29/9/2021:,0.47,0.00,657
15:00:00,29/9/2021:,0.47,0.00,1030.9
16:00:00,29/9/2021:,0.48,0.00,1066.6
17:00:00,29/9/2021:,0.49,0.00,621.3
18:00:00,29/9/2021:,0.42,0.00,505.9
19:00:00,29/9/2021:,0.50,0.00,410.7
20:00:00,29/9/2021:,0.47,0.00,379.3
21:00:00,29/9/2021:,0.48,0.00,456.3
22:00:00,29/9/2021:,,,420.8
8:00:00,30/9/2021:,4.61,0.00,391.4
9:00:00,30/9/2021:,0.46,0.00,320.8
10:00:00,30/9/2021:,0.45,0.00,428.5
11:00:00,30/9/2021:,0.58,0.00,374.8
12:00:00,30/9/2021:,0.55,0.00,557.8
13:00:00,30/9/2021:,0.46,0.00,547.3
14:00:00,30/9/2021:,0.47,0.00,251.7
15:00:00,30/9/2021:,0.46,0.00,164.2
16:00:00,30/9/2021:,0.49,0.00,141.7
17:00:00,30/9/2021:,0.53,0.00,146.2
18:00:00,30/9/2021:,0.49,0.00,149
19:00:00,30/9/2021:,0.50,0.00,172.5
20:00:00,30/9/2021:,0.53,0.00,180.3
21:00:00,30/9/2021:,0.32,0.19,103.8
22:00:00,30/9/2021:,,,74.7
